"","V8","purecontrol_TEMP","purecontrol","relid","success","follow_lfc","fav_plyr","fav_plyr_TEXT","perform18","year_born_1","gender","educ","city_uk_1","pid","shaqiri_11","Milner_1","Klopp_1","tr_intro","tr_failure","tr_success","tr_character","tr_relid","world_cup","improve_lfc_1","improve_lfc_2","improve_lfc_3","improve_lfc_6","improve_lfc_7","improve_lfc_7_TEXT","salah_perform_12","win_lfc","karius","muslims_common","islam_compatible","imm_impact","Q50","brexit","Q48","end","NA.","ID"
"11","2018-11-13 05:59:37",1,NA,1,1,"Somewhat closely (watch big matches, read news occasionally)","Bobby Firmino","","Very satisfied",1966,"Man","University degree","Liverpool","Labour",7,7,NA,NA,NA,NA,NA,NA,"","","","","","","",9,"Somewhat likely","Somewhat agree","A lot in common","Islam is generally compatible with the values of British society","Positive","","No Brexit would be best","",1,NA,4594
"12","2018-11-13 06:06:49",4,NA,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1967,"Man","Secondary school","Chester","Labour",7,8,NA,NA,NA,NA,NA,NA,"","","","","","","",8,"Somewhat likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Positive","","No Brexit would be best","",1,NA,6176
"13","2018-11-13 06:41:59",3,NA,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1965,"Woman","Secondary school","Liverpool","Liberal Democrat",7,8,NA,NA,NA,NA,NA,NA,"","","","","","","",7,"Very likely","Somewhat disagree","A lot in common","Don’t know","Very positive","","No Brexit would be best","",1,NA,8378
"14","2018-11-13 07:03:07",2,NA,1,1,"Very closely (watch every match, read news almost daily)","Sadio Mané","","Somewhat satisfied",1949,"Man","Vocational training","Oxford","None of the above",8,8,NA,NA,NA,NA,NA,NA,"","","","","","","",9,"Somewhat likely","Strongly agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Negative","","Soft Brexit would be best","",1,NA,354
"15","2018-11-13 07:23:51",2,NA,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1995,"Man","Vocational training","Bangor","Labour",8,8,NA,NA,NA,NA,NA,NA,"","","","","","","",10,"Somewhat likely","Somewhat disagree","A lot in common","Islam is generally compatible with the values of British society","Positive","","No Brexit would be best","",1,NA,2984
"16","2018-11-13 07:41:53",4,NA,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1961,"Woman","Secondary school","Belfast","None of the above",8,9,NA,NA,NA,NA,NA,NA,"","","","","","","",9,"Somewhat likely","Somewhat agree","Nothing in common","Don’t know","Neither positive nor negative","","No Brexit would be best","",1,NA,7490
"17","2018-11-13 07:44:15",1,NA,0,0,"Somewhat closely (watch big matches, read news occasionally)","Bobby Firmino","","Somewhat satisfied",1992,"Man","Secondary school","Wakefield","Labour",7,8,NA,NA,NA,NA,NA,NA,"","","","","","","",7,"Very likely","Strongly agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Soft Brexit would be best","",1,NA,5035
"18","2018-11-13 08:01:45",2,NA,0,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","Virgil Van Dijk","Very satisfied",1965,"Man","Secondary school","Liverpool","Labour",8,8,NA,NA,NA,NA,NA,NA,"","","","","","","",8,"Somewhat likely","Strongly agree","A little in common","Neither","Neither positive nor negative","","No Brexit would be best","",1,NA,2361
"19","2018-11-13 08:26:52",4,NA,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1983,"Man","Secondary school","Liverpool","Labour",7,8,NA,NA,NA,NA,NA,NA,"","","","","","","",8,"Somewhat likely","Strongly disagree","A lot in common","Neither","Positive","","No Brexit would be best","",1,NA,5639
"20","2018-11-13 08:46:21",1,NA,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1998,"Man","Secondary school","Newcastle upon Tyne","None of the above",8,8,NA,NA,NA,NA,NA,NA,"","","","","","","",8,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Somewhat negative","","No Brexit would be best","",1,NA,2377
"21","2018-11-13 08:44:43",1,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1968,"Man","Secondary school","Glasgow","Conservative",7,8,NA,NA,NA,NA,NA,NA,"","","","","","","",7,"Somewhat likely","Somewhat agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Hard Brexit would be best","",1,NA,1904
"22","2018-11-13 08:48:23",3,NA,1,0,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Very satisfied",1955,"Man","University degree","Bath","Labour",9,8,NA,NA,NA,NA,NA,NA,"","","","","","","",9,"Somewhat unlikely","Somewhat agree","A little in common","Neither","Positive","","No Brexit would be best","",1,NA,3412
"23","2018-11-13 08:56:56",3,NA,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1972,"Woman","Vocational training","Liverpool","Labour",7,8,NA,NA,NA,NA,NA,NA,"","","","","","","",10,"Very likely","Strongly disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","No Brexit would be best","",1,NA,8103
"24","2018-11-13 09:17:38",2,NA,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1982,"Woman","Secondary school","Oxford","None of the above",8,9,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat likely","Somewhat disagree","A little in common","Don’t know","Neither positive nor negative","","Hard Brexit would be best","",1,NA,6702
"25","2018-11-13 09:25:06",3,NA,1,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1963,"Man","Master’s degree or higher","Liverpool","Labour",7,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Somewhat likely","Somewhat disagree","A little in common","Neither","Neither positive nor negative","","No Brexit would be best","",1,NA,10291
"26","2018-11-13 09:29:25",0,0,0,0,"Very closely (watch every match, read news almost daily)","Sadio Mané","","Somewhat satisfied",1959,"Woman","Secondary school","Liverpool","Labour",10,10,NA,1,1,NA,1,NA,"The right amount","","","","","","",9,"Somewhat likely","Somewhat agree","Nothing in common","Don’t know","Neither positive nor negative","","Hard Brexit would be best","",1,NA,6427
"27","2018-11-13 09:34:05",2,NA,1,0,"Not at all (never watch matches or read news)","Other (insert name)","Mario Balotelli ","Not satisfied",1931,"Man","Master’s degree or higher","Ely","Other",-99,-99,NA,NA,NA,NA,NA,NA,"Too many","","","","","","",-99,"Very unlikely","Strongly disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Soft Brexit would be best","",1,NA,3439
"28","2018-11-13 09:41:52",0,0,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1954,"Man","Vocational training","Nottingham","Liberal Democrat",8,8,NA,1,NA,1,NA,1,"The right amount","","","","","","",10,"Very likely","Strongly disagree","A little in common","Islam is generally compatible with the values of British society","Very positive","","Soft Brexit would be best","",1,NA,10178
"29","2018-11-13 09:40:04",0,0,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1965,"Man","Vocational training","Swansea","Labour",7,8,NA,1,NA,1,NA,1,"The right amount","","","","","","",8,"Somewhat likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Hard Brexit would be best","",1,NA,11320
"30","2018-11-13 09:42:50",3,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1975,"Man","Secondary school","Gloucester","None of the above",10,10,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",10,"Very likely","Somewhat agree","Nothing in common","Neither","Very negative","","Hard Brexit would be best","",1,NA,7988
"31","2018-11-13 09:47:24",0,0,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1964,"Man","University degree","Liverpool","Labour",9,10,NA,1,NA,1,1,NA,"Too few","","","","","","",8,"Very likely","Somewhat disagree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","No Brexit would be best","",1,NA,4084
"32","2018-11-13 09:50:28",4,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1968,"Man","Secondary school","Lincoln","None of the above",8,9,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat likely","Somewhat disagree","A little in common","Neither","Neither positive nor negative","","No Brexit would be best","",1,NA,2125
"33","2018-11-13 09:58:43",1,NA,1,0,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Very satisfied",1967,"Man","Vocational training","Liverpool","Labour",8,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat likely","Somewhat agree","A little in common","Islam is generally compatible with the values of British society","Somewhat positive","","No Brexit would be best","",1,NA,3892
"34","2018-11-13 10:00:36",4,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1946,"Woman","Secondary school","Liverpool","Labour",9,9,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Somewhat likely","Neither agree nor disagree","A lot in common","Neither","Positive","","No Brexit would be best","",1,NA,483
"35","2018-11-13 10:05:05",0,0,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1949,"Man","Vocational training","Liverpool","Conservative",7,8,NA,1,NA,1,NA,1,"The right amount","","","","","","",9,"Somewhat likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Hard Brexit would be best","",1,NA,4609
"36","2018-11-13 10:09:05",2,NA,0,1,"Very closely (watch every match, read news almost daily)","Sadio Mané","","Somewhat satisfied",1976,"Man","Vocational training","Cardiff","None of the above",7,7,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",7,"Somewhat likely","Neither agree nor disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Very negative","","Soft Brexit would be best","",1,NA,8109
"37","2018-11-13 10:09:50",2,NA,0,0,"Very closely (watch every match, read news almost daily)","Daniel Sturridge","","Very satisfied",1960,"Woman","Secondary school","St Albans","Conservative",8,10,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",10,"Very likely","Strongly disagree","Nothing in common","Don’t know","Negative","","Hard Brexit would be best","",1,NA,5341
"38","2018-11-13 10:31:48",4,NA,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1966,"Man","Vocational training","Chester","Labour",9,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat unlikely","Somewhat agree","A little in common","Islam is generally compatible with the values of British society","Somewhat positive","","No Brexit would be best","",1,NA,3908
"39","2018-11-13 10:36:55",0,0,0,0,"Very closely (watch every match, read news almost daily)","Sadio Mané","","Very satisfied",1973,"Man","Vocational training","Chester","None of the above",7,8,NA,1,1,NA,1,NA,"The right amount","","","","","","",8,"Very likely","Somewhat agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Very negative","","Hard Brexit would be best","",1,NA,10589
"40","2018-11-13 10:41:26",4,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1942,"Woman","Vocational training","Manchester","Conservative",9,10,NA,NA,NA,NA,NA,NA,"Too few","","","","","","",9,"Somewhat likely","Somewhat agree","A little in common","Neither","Somewhat positive","","Hard Brexit would be best","",1,NA,6172
"41","2018-11-13 10:53:08",2,NA,0,0,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Somewhat satisfied",1943,"Man","Some university","Chester","Conservative",8,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Somewhat likely","Neither agree nor disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Hard Brexit would be best","",1,NA,5854
"42","2018-11-13 11:02:51",3,NA,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1947,"Man","Secondary school","York","Labour",8,-99,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",2,"Somewhat likely","Neither agree nor disagree","Nothing in common","Islam is generally compatible with the values of British society","Neither positive nor negative","","Hard Brexit would be best","",1,NA,1458
"43","2018-11-13 11:12:13",2,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1937,"Woman","Secondary school","Liverpool","Labour",10,10,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",10,"Somewhat unlikely","Somewhat disagree","A little in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","No Brexit would be best","",1,NA,5838
"44","2018-11-13 11:41:29",3,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1981,"Man","University degree","Salisbury","None of the above",8,9,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Very likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Soft Brexit would be best","",1,NA,8475
"45","2018-11-13 12:24:03",0,0,1,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","Van Dijk","Somewhat satisfied",1968,"Man","Vocational training","Londonderry","None of the above",6,6,NA,1,NA,1,NA,1,"The right amount","","","","","","",8,"Somewhat likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Hard Brexit would be best","",1,NA,87
"46","2018-11-13 12:29:25",3,NA,0,1,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Somewhat satisfied",1968,"Man","Vocational training","Chester","None of the above",8,8,NA,NA,NA,NA,NA,NA,"Too few","","","","","","",10,"Somewhat likely","Strongly agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Hard Brexit would be best","",1,NA,10805
"47","2018-11-13 12:44:06",4,NA,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1952,"Woman","Secondary school","Liverpool","UK Independence Party (UKIP)",7,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat likely","Strongly agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Very negative","","Hard Brexit would be best","",1,NA,8782
"48","2018-11-13 12:34:09",1,NA,0,1,"Somewhat closely (watch big matches, read news occasionally)","Other (insert name)","Andy Robertson","Very satisfied",-99,"Woman","Vocational training","Liverpool","Labour",7,9,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Very likely","Somewhat disagree","A lot in common","Islam is generally compatible with the values of British society","Positive","","No Brexit would be best","",1,NA,9172
"49","2018-11-13 12:58:25",4,NA,0,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1978,"Man","Vocational training","Bradford","None of the above",8,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Somewhat likely","Somewhat agree","Nothing in common","Don’t know","Somewhat negative","","No Brexit would be best","",1,NA,2671
"50","2018-11-13 13:59:11",2,NA,0,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","Henderson","Very satisfied",1963,"Woman","Vocational training","Liverpool","Labour",7,10,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",10,"Very likely","Somewhat disagree","A little in common","Don’t know","Positive","","No Brexit would be best","",1,NA,5461
"51","2018-11-13 14:05:34",1,NA,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1965,"Woman","Secondary school","Cardiff","Labour",7,9,NA,NA,NA,NA,NA,NA,"Too few","","","","","","",9,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Neither positive nor negative","","No Brexit would be best","",1,NA,1269
"52","2018-11-13 14:08:31",2,NA,0,0,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Somewhat satisfied",1967,"Man","Secondary school","London","Conservative",8,7,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat unlikely","Strongly agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Hard Brexit would be best","",1,NA,3285
"53","2018-11-13 14:13:27",0,0,1,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",-99,"Woman","Some university","Liverpool","Labour",-99,-99,NA,1,1,NA,NA,1,"The right amount","","","","","","",-99,"Somewhat likely","Neither agree nor disagree","A lot in common","Islam is generally compatible with the values of British society","Neither positive nor negative","","No Brexit would be best","",1,NA,8837
"54","2018-11-13 14:25:23",4,NA,0,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","James Milner","Very satisfied",1966,"Man","Vocational training","Carlisle","Scottish National Party",7,7,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Somewhat likely","Somewhat agree","-99","Don’t know","Positive","","No Brexit would be best","",1,NA,275
"55","2018-11-13 14:35:05",2,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1964,"Man","Master’s degree or higher","Preston","None of the above",7,7,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat likely","Neither agree nor disagree","A lot in common","Neither","Somewhat positive","","No Brexit would be best","",1,NA,7501
"56","2018-11-13 14:50:22",3,NA,0,0,"Somewhat closely (watch big matches, read news occasionally)","Other (insert name)","Andrew Robertson ","Not satisfied",1970,"Man","University degree","Liverpool","Liberal Democrat",4,5,NA,NA,NA,NA,NA,NA,"Too many","","","","","","",5,"Very unlikely","Strongly agree","A little in common","Neither","Somewhat positive","","No Brexit would be best","",1,NA,1068
"57","2018-11-13 15:29:28",4,NA,1,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1974,"Man","University degree","Liverpool","Labour",8,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Somewhat likely","Somewhat agree","A lot in common","Islam is generally compatible with the values of British society","Very positive","","No Brexit would be best","",1,NA,10352
"58","2018-11-13 16:24:13",4,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1968,"Man","University degree","London","Liberal Democrat",7,7,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Very unlikely","Strongly agree","A little in common","Neither","Positive","","No Brexit would be best","",1,NA,10112
"59","2018-11-13 17:01:58",0,0,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1945,"Woman","Secondary school","Liverpool","Labour",9,10,NA,1,1,NA,1,NA,"The right amount","","","","","","",10,"Somewhat likely","Somewhat agree","Nothing in common","Don’t know","Somewhat positive","","No Brexit would be best","",1,NA,8263
"60","2018-11-13 17:26:46",1,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1957,"Man","Vocational training","Birmingham","Labour",9,8,NA,NA,NA,NA,NA,NA,"Too many","","","","","","",8,"Somewhat likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat positive","","Soft Brexit would be best","",1,NA,7260
"61","2018-11-13 22:19:31",2,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1974,"Woman","Master’s degree or higher","Liverpool","Labour",8,7,NA,NA,NA,NA,NA,NA,"Too many","","","","","","",7,"Somewhat likely","Neither agree nor disagree","A little in common","Neither","Positive","","No Brexit would be best","",1,NA,4680
"62","2018-11-13 22:42:19",2,NA,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1965,"Man","Secondary school","London","UK Independence Party (UKIP)",6,7,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",7,"Somewhat likely","Somewhat agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Negative","","Hard Brexit would be best","",1,NA,10883
"63","2018-11-13 23:15:57",2,NA,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1970,"Man","Secondary school","Cambridge","Conservative",7,5,NA,NA,NA,NA,NA,NA,"Too few","","","","","","",8,"Somewhat likely","Strongly agree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat positive","","Soft Brexit would be best","",1,NA,11619
"64","2018-11-13 23:19:54",2,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1968,"Woman","Some university","Salisbury","Labour",6,7,NA,NA,NA,NA,NA,NA,"Too few","","","","","","",6,"Somewhat likely","Strongly disagree","A little in common","Islam is generally compatible with the values of British society","Neither positive nor negative","","Hard Brexit would be best","",1,NA,10751
"65","2018-11-13 23:34:07",1,NA,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1944,"Woman","Secondary school","Chester","Other",9,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Somewhat likely","Somewhat disagree","Nothing in common","Don’t know","Somewhat negative","","Hard Brexit would be best","",1,NA,10428
"66","2018-11-13 23:44:03",4,NA,1,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","Andy Robertson","Somewhat satisfied",1970,"Woman","University degree","Chester","Labour",8,9,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",9,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Positive","","No Brexit would be best","",1,NA,10155
"67","2018-11-13 23:56:37",4,NA,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1987,"Woman","Master’s degree or higher","Bangor","Other",7,7,NA,NA,NA,NA,NA,NA,"Too many","","","","","","",8,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Positive","","No Brexit would be best","",1,NA,11473
"68","2018-11-14 00:02:51",2,NA,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1967,"Woman","Vocational training","Truro","Labour",7,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",10,"Very likely","Somewhat agree","A little in common","Islam is generally compatible with the values of British society","Neither positive nor negative","","No Brexit would be best","",1,NA,11256
"69","2018-11-14 00:12:31",3,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1972,"Man","University degree","Kingston upon Hull","None of the above",8,8,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Positive","","Soft Brexit would be best","",1,NA,262
"70","2018-11-14 00:12:26",1,NA,1,1,"Somewhat closely (watch big matches, read news occasionally)","Other (insert name)","James Milner","Very satisfied",1976,"Man","Some university","Manchester","Labour",2,9,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Neither positive nor negative","","No Brexit would be best","",1,NA,11457
"71","2018-11-14 00:13:23",4,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1965,"Woman","University degree","Preston","None of the above",8,10,NA,NA,NA,NA,NA,NA,"Too few","","","","","","",9,"Somewhat unlikely","Somewhat disagree","A little in common","Neither","Positive","","No Brexit would be best","",1,NA,6300
"72","2018-11-14 00:21:37",1,NA,0,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1978,"Man","Secondary school","Coventry","Conservative",7,7,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",7,"Somewhat likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat positive","","Soft Brexit would be best","",1,NA,2960
"73","2018-11-14 00:28:17",1,NA,0,0,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Very satisfied",1964,"Man","Secondary school","Liverpool","Labour",8,9,NA,NA,NA,NA,NA,NA,"The right amount","","","","","","",8,"Somewhat unlikely","Somewhat agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Positive","","Hard Brexit would be best","",1,NA,2576
"74","2018-11-14 00:50:28",0,0,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1960,"Man","Vocational training","Belfast","None of the above",8,8,NA,1,1,NA,1,NA,"Too many","","","","","","",8,"Somewhat likely","Neither agree nor disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Hard Brexit would be best","",1,NA,7972
